workp_id,log,lat,area,meshblock
63,8420780.98,547379.27,522.52,Aunuu
70,8420856.28,547435.01,450.75,Aunuu
93,8421021.58,547465.61,373.76,Aunuu
182,8416295.19,527365.51,320.73,Mesepa
190,8416338.94,527540.23,362.78,Mesepa
201,8416353.06,527470.52,1529.49,Mesepa
202,8416373.78,527211.62,314.20,Mesepa
232,8416447.75,527455.01,371.79,Mesepa
287,8416548.28,527709.06,778.12,Mesepa
291,8416593.81,527640.89,778.07,Mesepa
293,8416673.43,527877.13,232.88,Mesepa
297,8416700.43,527822.69,389.55,Mesepa
298,8416691.21,527920.89,1313.36,Mesepa
299,8416704.74,527892.18,555.35,Mesepa
300,8416599.24,527728.45,9668.26,Mesepa
303,8416728.14,527870.81,264.36,Mesepa
304,8416745.08,527996.49,63.83,Mesepa
306,8416749.23,527804.79,178.20,Mesepa
307,8416748.10,527859.98,277.65,Mesepa
310,8416781.04,527922.35,1608.49,Mesepa
311,8416843.95,527947.27,150.95,Mesepa
312,8416846.32,527870.86,904.62,Mesepa
314,8416858.01,527941.93,291.03,Mesepa
315,8416876.05,527875.77,84.83,Mesepa
316,8416874.92,527925.77,315.19,Mesepa
317,8416897.92,527928.24,127.62,Mesepa
319,8416910.01,527907.92,290.07,Mesepa
320,8416908.69,528132.72,397.69,Mesepa
322,8416965.70,528000.86,301.60,Mesepa
325,8416995.74,528145.17,766.42,Mesepa
340,8416473.93,527198.00,891.12,Mesepa
341,8416459.78,527208.79,495.60,Mesepa
342,8417002.23,528160.76,2656.78,Mesepa
348,8416305.17,527301.50,552.74,Mesepa
353,8416294.99,527365.79,328.61,Mesepa
358,8414616.57,524704.72,476.11,Malaeloa/Aitulagi
367,8414551.35,524411.58,492.49,Malaeloa/Aitulagi
388,8414620.30,524097.58,408.27,Malaeloa/Aitulagi
399,8414662.55,524592.73,375.61,Malaeloa/Aitulagi
401,8414660.27,524320.84,580.66,Malaeloa/Aitulagi
405,8414670.69,524295.40,341.98,Malaeloa/Aitulagi
406,8414676.32,524265.47,1030.20,Malaeloa/Aitulagi
407,8414676.26,525140.36,755.93,Malaeloa/Aitulagi
410,8414686.44,524235.85,435.89,Malaeloa/Aitulagi
415,8414692.73,524638.70,378.51,Malaeloa/Aitulagi
419,8414711.53,525072.78,328.65,Malaeloa/Aitulagi
422,8414730.32,524403.81,304.23,Malaeloa/Aitulagi
424,8414726.21,524707.61,335.77,Malaeloa/Aitulagi
426,8414730.70,524147.39,324.76,Malaeloa/Aitulagi
437,8414749.55,524318.51,385.72,Malaeloa/Aitulagi
441,8414754.41,524350.22,405.03,Malaeloa/Aitulagi
444,8414754.26,525083.43,476.26,Malaeloa/Aitulagi
445,8414758.37,524689.52,357.89,Malaeloa/Aitulagi
454,8414778.93,524939.98,437.16,Malaeloa/Aitulagi
457,8414784.71,524153.09,404.64,Malaeloa/Aitulagi
459,8414796.41,524845.77,337.01,Malaeloa/Aitulagi
468,8414799.19,524194.10,782.69,Malaeloa/Aitulagi
473,8414810.71,525067.69,316.35,Malaeloa/Aitulagi
478,8414818.82,524949.19,409.25,Malaeloa/Aitulagi
486,8414833.92,524356.13,349.70,Malaeloa/Aitulagi
498,8414896.53,524990.03,567.86,Malaeloa/Aitulagi
508,8414982.79,525075.53,307.52,Malaeloa/Aitulagi
517,8415284.87,525809.47,360.82,Malaeloa/Aitulagi
531,8414939.09,525586.47,478.52,Malaeloa/Aitulagi
532,8415320.52,525728.26,478.52,Malaeloa/Aitulagi
533,8416331.56,525730.60,1944.58,Malaeloa/Aitulagi
534,8416682.71,525659.10,1759.60,Malaeloa/Aitulagi
535,8416618.99,525676.10,1759.60,Malaeloa/Aitulagi
536,8416818.09,525596.58,1628.76,Malaeloa/Aitulagi
537,8416895.45,525583.30,1082.83,Malaeloa/Aitulagi
538,8416908.19,525661.89,1082.83,Malaeloa/Aitulagi
539,8416969.79,525634.28,1082.83,Malaeloa/Aitulagi
540,8416906.14,525746.32,1502.43,Malaeloa/Aitulagi
541,8416756.57,525797.41,1376.10,Malaeloa/Aitulagi
542,8416900.51,525867.65,566.23,Malaeloa/Aitulagi
543,8417029.52,525288.85,390.39,Malaeloa/Aitulagi
552,8414510.10,526426.52,338.19,Pavaiai
554,8414564.19,526332.79,396.06,Pavaiai
555,8414568.32,526420.91,181.60,Pavaiai
557,8414586.67,526539.33,328.78,Pavaiai
558,8414597.67,526472.39,573.85,Pavaiai
573,8414718.14,526490.92,310.73,Pavaiai
576,8414749.98,526313.63,330.55,Pavaiai
580,8414771.82,526298.04,307.86,Pavaiai
584,8414789.65,526286.37,233.19,Pavaiai
587,8414812.26,526270.12,350.40,Pavaiai
589,8414825.85,526464.63,400.11,Pavaiai
591,8414832.54,526247.36,302.90,Pavaiai
596,8414849.04,526219.18,326.09,Pavaiai
597,8414852.29,526546.50,319.23,Pavaiai
600,8414861.79,526499.43,332.64,Pavaiai
601,8414864.77,526189.53,315.47,Pavaiai
602,8414869.58,526559.29,261.45,Pavaiai
625,8414942.81,526102.04,379.74,Pavaiai
627,8414949.97,526600.74,346.67,Pavaiai
629,8414958.39,526491.59,316.83,Pavaiai
632,8414977.62,526546.04,117.81,Pavaiai
633,8414980.18,526733.49,130.40,Pavaiai
635,8414985.43,526531.51,102.98,Pavaiai
636,8414975.69,526667.47,1396.06,Pavaiai
637,8414990.21,526706.82,348.00,Pavaiai
640,8414999.05,526768.27,393.72,Pavaiai
641,8414998.95,526645.58,919.20,Pavaiai
644,8415016.23,526782.27,324.11,Pavaiai
646,8415018.66,526692.51,685.01,Pavaiai
649,8415024.43,526734.93,810.96,Pavaiai
653,8415049.38,526611.12,425.79,Pavaiai
655,8415045.09,526764.42,854.23,Pavaiai
656,8415054.67,526392.99,356.93,Pavaiai
659,8415060.13,527129.42,622.06,Pavaiai
660,8415065.88,526577.91,420.19,Pavaiai
667,8415077.92,526782.36,391.03,Pavaiai
673,8415082.04,526656.67,1069.33,Pavaiai
677,8415102.85,526629.63,430.10,Pavaiai
690,8415127.68,526618.10,349.84,Pavaiai
715,8415167.35,526360.26,374.72,Pavaiai
716,8415161.32,526879.64,899.80,Pavaiai
731,8415193.92,526761.37,379.45,Pavaiai
734,8415197.46,526883.39,376.75,Pavaiai
737,8415202.43,526958.01,276.43,Pavaiai
770,8415245.48,526980.45,1348.22,Pavaiai
771,8415254.87,526802.72,568.95,Pavaiai
774,8415264.92,526274.92,361.62,Pavaiai
782,8415268.78,527263.61,478.06,Pavaiai
786,8415283.20,526597.01,408.56,Pavaiai
787,8415283.17,526875.01,486.85,Pavaiai
797,8415306.13,527031.41,183.41,Pavaiai
810,8415310.17,526706.14,599.77,Pavaiai
821,8415332.70,526665.74,670.18,Pavaiai
824,8415339.90,526730.81,331.07,Pavaiai
826,8415346.86,526704.70,119.58,Pavaiai
829,8415342.78,526992.35,448.71,Pavaiai
837,8415351.66,526504.76,415.32,Pavaiai
838,8415363.02,526983.48,303.94,Pavaiai
839,8415364.37,526710.10,161.99,Pavaiai
840,8415361.47,526683.04,551.12,Pavaiai
851,8415376.61,526719.74,128.24,Pavaiai
854,8415383.73,526670.43,82.85,Pavaiai
855,8415376.20,526614.86,515.29,Pavaiai
856,8415379.29,526781.20,399.16,Pavaiai
857,8415387.40,526743.99,81.46,Pavaiai
863,8415394.59,526699.45,227.42,Pavaiai
865,8415401.13,526682.60,177.19,Pavaiai
866,8415401.42,526660.38,172.17,Pavaiai
867,8415395.93,527747.32,349.21,Pavaiai
